1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.30,1.31,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,2.13,2.14,2.15,2.16,2.17,2.18,2.19,2.20,2.21,2.22,2.23,2.24,2.25,2.26,2.27,2.28,2.29
72,105,69,105,180,323,371,1291,840,1032,1220,1347,1921,2103,2345,3156,2987,2447,2841,2147,2618,2097,1638,14840,4823,2420,1843,1933,1807,1693,775,631,366,630,398,499,401,409,318,423,570
0,0,159,417,704,712,2793,1191,1876,2493,2867,3097,2606,3260,3182,1957,3230,2622,2073,2067,2272,1814,1685,1377,1154,1216,1036,909,788,596,880,1279,1125,631,450,373,311,403,332,159,64
2,3,8,7,15,13,24,24,25,37,42,45,45,56,64,65,70,69,81,81,91,103,94,242,116,139,139,100,93,132,108,115,106,96,149,68,52,26,41,45,34
